PROBE_ID,SEQ_ID,BH_FDR,Time_Effect
114_SRRM2_23524;233,114_SRRM2_23524,0.0000001,0.696
327_AP3D1_8943;741,327_AP3D1_8943,0.00000016,0.6953
1349_NMT1_4836;53,1349_NMT1_4836,0.00000015,0.695
103_RPS25_6230;29,103_RPS25_6230,0.00000009,0.6944
585_RPS24_6229;101,585_RPS24_6229,0.00000015,0.6939
1057_SRRM1_10250;813,1057_SRRM1_10250,0.00000012,0.6935
27_NBPF15_284565;561,27_NBPF15_284565,0.00000097,0.6916
502_NBPF10_100132406;561,502_NBPF10_100132406,0.00000097,0.6916
CAT151.3_T027960_G006287_2_15387_15731_345;89,CAT151.3_T027960_G006287_2_15387_15731_345,0.00000041,0.6915
ADT6;429,ADT6,0.00000014,0.689
317_RPL13A_23521;157,317_RPL13A_23521,0.0000001,0.6884
ADT26;1837,ADT26,0.00000007,0.6875
1093_EIF1AX_1964;1,1093_EIF1AX_1964,0.0000001,0.6875
440_NOP58_51602;509,440_NOP58_51602,0.00000009,0.6875
1096_ANKHD1_54882;1449,1096_ANKHD1_54882,0.00000016,0.686
437_PRR13_54458;113,437_PRR13_54458,0.00000006,0.685
1142_NOP56_10528;577,1142_NOP56_10528,0.00000007,0.6847
995_EED_8726;65,995_EED_8726,0.00000014,0.6846
1349_NMT1_4836;49,1349_NMT1_4836,0.0000001,0.6833
876_SON_6651;117,876_SON_6651,0.00000009,0.6829
247_UBA52_7311;113,247_UBA52_7311,0.00000013,0.6828
1059_NEMF_9147;437,1059_NEMF_9147,0.00000013,0.6822
300_GNL3_26354;29,300_GNL3_26354,0.00000007,0.6822
136_RPL17_6139;165,136_RPL17_6139,0.00000016,0.6821
244_RPL7_6129;29,244_RPL7_6129,0.00000026,0.6814
445_MARCKS_4082;161,445_MARCKS_4082,0.00000015,0.6811
738_SPATS2L_26010;57,738_SPATS2L_26010,0.00000012,0.6809
1071_NRBP2_340371;129,1071_NRBP2_340371,0.00000024,0.6805
364_TCF25_22980;125,364_TCF25_22980,0.00000007,0.6798
281_RPL29_6159;41,281_RPL29_6159,0.00000055,0.6793
1057_SRRM1_10250;801,1057_SRRM1_10250,0.0000003,0.6787
1057_SRRM1_10250;821,1057_SRRM1_10250,0.00000013,0.6787
300_GNL3_26354;209,300_GNL3_26354,0.00000012,0.6784
1059_NEMF_9147;865,1059_NEMF_9147,0.00000012,0.6773
FBXL19_AS1_T130509_G030577_1_4499_4918_420;13,FBXL19_AS1_T130509_G030577_1_4499_4918_420,0.00000046,0.6768
837_BBX_56987;441,837_BBX_56987,0.00000139,0.6768
CAT1942_T149369_G034642_1_6407_7270_864;69,CAT1942_T149369_G034642_1_6407_7270_864,0.00000019,0.6759
1059_NEMF_9147;869,1059_NEMF_9147,0.00000015,0.6749
1163_CARS2_79587;321,1163_CARS2_79587,0.00000013,0.6748
81_RPS8_6202;197,81_RPS8_6202,0.0000014,0.6744
114_SRRM2_23524;205,114_SRRM2_23524,0.00000012,0.6734
334_RALBP1_10928;65,334_RALBP1_10928,0.00000012,0.6731
125_RPS27A_6233;85,125_RPS27A_6233,0.0000003,0.6729
70_RPL32_6161;5,70_RPL32_6161,0.00000009,0.6729
77_SP100_6672;749,77_SP100_6672,0.00000038,0.6729
458_RBM8A_9939;25,458_RBM8A_9939,0.00000022,0.6719
1057_SRRM1_10250;809,1057_SRRM1_10250,0.00000012,0.6713
81_RPS8_6202;9,81_RPS8_6202,0.00000013,0.6712
125_RPS27A_6233;81,125_RPS27A_6233,0.00000016,0.6709
631_HEXIM1_10614;149,631_HEXIM1_10614,0.00000013,0.6706
1059_NEMF_9147;433,1059_NEMF_9147,0.00000016,0.6704
125_RPS27A_6233;89,125_RPS27A_6233,0.00000016,0.6703
404_ELL2_22936;453,404_ELL2_22936,0.00000029,0.6698
987_DDX47_51202;441,987_DDX47_51202,0.00000016,0.6684
180_GLTSCR2_29997;93,180_GLTSCR2_29997,0.00000007,0.6679
677_ZNF598_90850;837,677_ZNF598_90850,0.0000001,0.6678
1222_SMARCC2_6601;285,1222_SMARCC2_6601,0.00000009,0.6672
937_MYL6_4637;285,937_MYL6_4637,0.00000009,0.6672
585_RPS24_6229;93,585_RPS24_6229,0.0000002,0.6671
88_RPL22_6146;5,88_RPL22_6146,0.00000008,0.6671
125_RPS27A_6233;77,125_RPS27A_6233,0.00000013,0.6669
389_RPL6_6128;25,389_RPL6_6128,0.00000017,0.6663
281_RPL29_6159;113,281_RPL29_6159,0.00000013,0.6651
1375_ARID4B_51742;1133,1375_ARID4B_51742,0.00000016,0.6648
731_F5_2153;1017,731_F5_2153,0.00000062,0.664
94_SMN1_6606;65,94_SMN1_6606,0.00000006,0.6635
1178_C12orf51_283450;2881,1178_C12orf51_283450,0.00000015,0.6623
1032_C1orf9_51430;1253,1032_C1orf9_51430,0.00000049,0.662
21_GTF2I_2969;629,21_GTF2I_2969,0.00000272,0.662
656_ANK3_288;25,656_ANK3_288,0.00000007,0.6615
ADT6;437,ADT6,0.00000015,0.6614
589_FDPS_2224;405,589_FDPS_2224,0.00000081,0.66
1215_ING5_84289;225,1215_ING5_84289,0.00000028,0.6596
317_RPL13A_23521;165,317_RPL13A_23521,0.00000015,0.6592
1349_NMT1_4836;45,1349_NMT1_4836,0.00000012,0.6586
740_PA2G4_5036;357,740_PA2G4_5036,0.00000037,0.6584
1093_EIF1AX_1964;53,1093_EIF1AX_1964,0.00000076,0.6583
114_SRRM2_23524;229,114_SRRM2_23524,0.00000013,0.6581
316_HIST1H1C_3006;145,316_HIST1H1C_3006,0.00000019,0.6576
281_RPL29_6159;37,281_RPL29_6159,0.00000035,0.6571
740_PA2G4_5036;361,740_PA2G4_5036,0.00000009,0.6558
876_SON_6651;1893,876_SON_6651,0.00000017,0.6554
749_STEAP2_261729;449,749_STEAP2_261729,0.00000029,0.6553
1193_HIST1H2BH_8345;21,1193_HIST1H2BH_8345,0.00000006,0.6549
512_HIST1H2BK_85236;21,512_HIST1H2BK_85236,0.00000006,0.6549
674_HIST1H2BL_8340;21,674_HIST1H2BL_8340,0.00000006,0.6549
791_HIST1H2BF_8343;21,791_HIST1H2BF_8343,0.00000006,0.6549
389_RPL6_6128;21,389_RPL6_6128,0.0000002,0.6544
114_SRRM2_23524;185,114_SRRM2_23524,0.00000017,0.6537
834_SRSF4_6429;381,834_SRSF4_6429,0.00000029,0.6528
300_GNL3_26354;5,300_GNL3_26354,0.00000027,0.6502
1137_KAT6A_7994;309,1137_KAT6A_7994,0.00000033,0.6499
772_MARS_4141;889,772_MARS_4141,0.00000014,0.6489
969_C8orf4_56892;89,969_C8orf4_56892,0.00000206,0.6486
1052_ARL6IP4_51329;297,1052_ARL6IP4_51329,0.00000091,0.6481
613_FNBP4_23360;925,613_FNBP4_23360,0.0000001,0.6478
949_DNAJB6_10049;305,949_DNAJB6_10049,0.00000015,0.6476
346_WASH2P_375260;377,346_WASH2P_375260,0.00000023,0.647
95_AHNAK_79026;5013,95_AHNAK_79026,0.00000008,0.647
88_RPL22_6146;77,88_RPL22_6146,0.00000128,0.6465
CTA15;221,CTA15,0.00000025,0.6463
474_RPL18A_6142;41,474_RPL18A_6142,0.00000211,0.6461
1273_NFIA_4774;73,1273_NFIA_4774,0.00000067,0.6459
286_NFIC_4782;29,286_NFIC_4782,0.00000067,0.6459
628_NFIB_4781;29,628_NFIB_4781,0.00000067,0.6459
750_NACAP1_83955;65,750_NACAP1_83955,0.00000014,0.6458
836_TBRG1_84897;149,836_TBRG1_84897,0.00000018,0.6458
1159_PIP4K2B_8396;21,1159_PIP4K2B_8396,0.00000056,0.6455
1253_ANKRD11_29123;625,1253_ANKRD11_29123,0.00000009,0.6454
837_BBX_56987;741,837_BBX_56987,0.00000024,0.6453
941_PSMC1_5700;25,941_PSMC1_5700,0.00000013,0.6452
768_NUCKS1_64710;145,768_NUCKS1_64710,0.00000013,0.6451
1057_SRRM1_10250;805,1057_SRRM1_10250,0.00000029,0.645
1425_SSRP1_6749;621,1425_SSRP1_6749,0.00000052,0.644
207_FAU_2197;85,207_FAU_2197,0.00000009,0.6438
1121_RPL22L1_200916;73,1121_RPL22L1_200916,0.00000042,0.6436
1324_KIAA1430_57587;297,1324_KIAA1430_57587,0.00000016,0.6422
327_AP3D1_8943;737,327_AP3D1_8943,0.00000014,0.6418
115_HMGN2_3151;45,115_HMGN2_3151,0.00000012,0.6417
531_SMARCA4_6597;569,531_SMARCA4_6597,0.0000003,0.6417
247_UBA52_7311;117,247_UBA52_7311,0.00000012,0.6414
990_AKAP9_10142;37,990_AKAP9_10142,0.00000013,0.6414
832_RPL3_6122;121,832_RPL3_6122,0.00000035,0.6412
763_SRP14_6727;89,763_SRP14_6727,0.00000006,0.6404
946_NKTR_4820;433,946_NKTR_4820,0.00000017,0.6402
1159_PIP4K2B_8396;13,1159_PIP4K2B_8396,0.00000008,0.6395
224_RPL23A_6147;25,224_RPL23A_6147,0.00000007,0.6393
832_RPL3_6122;117,832_RPL3_6122,0.00000014,0.6389
1215_ING5_84289;229,1215_ING5_84289,0.00000024,0.638
1264_CAST_831;17,1264_CAST_831,0.00000012,0.638
906_GTF3A_2971;305,906_GTF3A_2971,0.00000008,0.6378
94_SMN1_6606;69,94_SMN1_6606,0.00000012,0.6374
334_RALBP1_10928;69,334_RALBP1_10928,0.00000007,0.6373
1362_ADD1_118;709,1362_ADD1_118,0.00000022,0.6369
336_STEAP1_26872;309,336_STEAP1_26872,0.00000171,0.6358
266_UTRN_7402;3129,266_UTRN_7402,0.0000005,0.6356
891_PTPLAD1_51495;309,891_PTPLAD1_51495,0.00000798,0.6353
222_ACSS1_84532;637,222_ACSS1_84532,0.0000009,0.6339
207_FAU_2197;93,207_FAU_2197,0.00000013,0.6337
CAT1942_T149369_G034642_1_6407_7270_864;73,CAT1942_T149369_G034642_1_6407_7270_864,0.00000019,0.6336
207_FAU_2197;97,207_FAU_2197,0.00000016,0.6335
352_HP1BP3_50809;541,352_HP1BP3_50809,0.00000017,0.6333
959_NCOR2_9612;669,959_NCOR2_9612,0.00000015,0.6331
FBXL19_AS1_T130509_G030577_1_4499_4918_420;121,FBXL19_AS1_T130509_G030577_1_4499_4918_420,0.00000008,0.6329
27_NBPF15_284565;557,27_NBPF15_284565,0.00000277,0.6326
502_NBPF10_100132406;557,502_NBPF10_100132406,0.00000277,0.6326
583_RPL9_6133;41,583_RPL9_6133,0.00000034,0.6326
442_PNRC1_10957;89,442_PNRC1_10957,0.00000111,0.6325
537_DGKD_8527;1109,537_DGKD_8527,0.00000088,0.6322
147_RPL36_25873;61,147_RPL36_25873,0.00000017,0.6321
473_RPL5_6125;5,473_RPL5_6125,0.00000049,0.6321
290_BRD2_6046;537,290_BRD2_6046,0.00000016,0.6317
88_RPL22_6146;1,88_RPL22_6146,0.00000183,0.6311
1142_NOP56_10528;549,1142_NOP56_10528,0.00000031,0.631
836_TBRG1_84897;145,836_TBRG1_84897,0.00000014,0.6309
177_RPL10A_4736;89,177_RPL10A_4736,0.00000007,0.629
876_SON_6651;101,876_SON_6651,0.0000001,0.6289
1226_PITPNA_5306;193,1226_PITPNA_5306,0.00002469,0.6288
1059_NEMF_9147;813,1059_NEMF_9147,0.00000018,0.6287
1086_RBPJ_3516;157,1086_RBPJ_3516,0.00000012,0.6274
300_GNL3_26354;113,300_GNL3_26354,0.00000019,0.6267
531_SMARCA4_6597;573,531_SMARCA4_6597,0.00000093,0.6266
596_RPS23_6228;65,596_RPS23_6228,0.00000048,0.6264
1090_TSPYL5_85453;9,1090_TSPYL5_85453,0.00000016,0.6261
613_FNBP4_23360;929,613_FNBP4_23360,0.00000008,0.6256
1055_KIAA0146_23514;837,1055_KIAA0146_23514,0.00000589,0.6252
763_SRP14_6727;93,763_SRP14_6727,0.00000015,0.6252
1059_NEMF_9147;1009,1059_NEMF_9147,0.0000003,0.6251
1052_ARL6IP4_51329;197,1052_ARL6IP4_51329,0.00000017,0.6249
837_BBX_56987;461,837_BBX_56987,0.00000014,0.6249
120_NPIPL3_23117;169,120_NPIPL3_23117,0.0000001,0.6242
30_LOC100132247_100132247;169,30_LOC100132247_100132247,0.0000001,0.6242
872_RASD1_51655;217,872_RASD1_51655,0.00000007,0.6242
209_RPL41_6171;9,209_RPL41_6171,0.00000011,0.6235
45_MKNK2_2872;57,45_MKNK2_2872,0.00000016,0.6232
1171_SF3B1_23451;641,1171_SF3B1_23451,0.00000047,0.6228
1363_LEF1_51176;365,1363_LEF1_51176,0.0000002,0.6225
1375_ARID4B_51742;625,1375_ARID4B_51742,0.0000001,0.6225
1335_KTN1_3895;105,1335_KTN1_3895,0.00000009,0.6224
870_CBX3_11335;5,870_CBX3_11335,0.00000018,0.6224
1350_MDH1_4190;285,1350_MDH1_4190,0.00003641,0.6219
1321_MLLT4_4301;157,1321_MLLT4_4301,0.00000035,0.6211
941_PSMC1_5700;9,941_PSMC1_5700,0.00000013,0.621
112_RPL19_6143;141,112_RPL19_6143,0.00000021,0.6208
1003_EIF3J_8669;209,1003_EIF3J_8669,0.00000042,0.6203
750_NACAP1_83955;69,750_NACAP1_83955,0.00000018,0.6202
1137_KAT6A_7994;313,1137_KAT6A_7994,0.0000003,0.6201
303_RPL13AP3_645683;73,303_RPL13AP3_645683,0.00000011,0.62
117_DHX9_1660;581,117_DHX9_1660,0.00000022,0.6197
773_PHF8_23133;517,773_PHF8_23133,0.00000014,0.6197
1240_NOP10_55505;41,1240_NOP10_55505,0.00001427,0.6193
327_AP3D1_8943;865,327_AP3D1_8943,0.00000022,0.6186
1052_ARL6IP4_51329;277,1052_ARL6IP4_51329,0.00000027,0.6185
CAT1942_T149369_G034642_1_6407_7270_864;81,CAT1942_T149369_G034642_1_6407_7270_864,0.00000021,0.6179
1059_NEMF_9147;901,1059_NEMF_9147,0.0000002,0.6179
118_RPS7_6201;101,118_RPS7_6201,0.0000003,0.6179
995_EED_8726;69,995_EED_8726,0.00000024,0.6179
1324_KIAA1430_57587;153,1324_KIAA1430_57587,0.00000065,0.6173
327_AP3D1_8943;733,327_AP3D1_8943,0.00000013,0.6169
258_C6orf62_81688;33,258_C6orf62_81688,0.00000043,0.6168
1035_RAB35_11021;185,1035_RAB35_11021,0.00000039,0.6166
507_H1F0_3005;137,507_H1F0_3005,0.00000007,0.6164
327_AP3D1_8943;861,327_AP3D1_8943,0.00000053,0.6163
491_KDELR2_11014;193,491_KDELR2_11014,0.00000105,0.6162
1425_SSRP1_6749;625,1425_SSRP1_6749,0.00000031,0.616
1425_SSRP1_6749;509,1425_SSRP1_6749,0.00000013,0.6154
PCA27;449,PCA27,0.00000014,0.615
336_STEAP1_26872;305,336_STEAP1_26872,0.00000397,0.615
PRO14;2169,PRO14,0.00001135,0.6148
389_RPL6_6128;209,389_RPL6_6128,0.0000013,0.6148
923_MRPS6_64968;113,923_MRPS6_64968,0.00000036,0.6147
583_RPL9_6133;45,583_RPL9_6133,0.00000047,0.6137
145_IGFBP7_3490;85,145_IGFBP7_3490,0.00000013,0.6136
PCA10;145,PCA10,0.00000007,0.6134
62_RPL39_6170;5,62_RPL39_6170,0.00000122,0.6134
1433_SASH1_23328;453,1433_SASH1_23328,0.00000013,0.613
255_RANBP2_5903;605,255_RANBP2_5903,0.00000047,0.613
327_AP3D1_8943;837,327_AP3D1_8943,0.0000005,0.6128
836_TBRG1_84897;153,836_TBRG1_84897,0.00000022,0.6127
263_RPL27_6155;121,263_RPL27_6155,0.0000005,0.6122
1292_RAN_5901;129,1292_RAN_5901,0.00000073,0.612
765_ANKRD36_375248;909,765_ANKRD36_375248,0.00000011,0.612
1143_PHF2_5253;521,1143_PHF2_5253,0.00000007,0.6115
837_BBX_56987;705,837_BBX_56987,0.00000033,0.6108
781_ATP1A1_476;13,781_ATP1A1_476,0.00000035,0.6103
305_NFE2L1_4779;661,305_NFE2L1_4779,0.00000023,0.61
1142_NOP56_10528;441,1142_NOP56_10528,0.0000002,0.6099
1143_PHF2_5253;517,1143_PHF2_5253,0.00000013,0.6097
1135_ARMC2_84071;345,1135_ARMC2_84071,0.00000753,0.6095
1394_PCGF3_10336;217,1394_PCGF3_10336,0.0000762,0.6092
1272_GTPBP4_23560;481,1272_GTPBP4_23560,0.00000006,0.6089
440_NOP58_51602;485,440_NOP58_51602,0.00000014,0.6089
349_PARP1_142;1001,349_PARP1_142,0.00001016,0.6088
437_PRR13_54458;109,437_PRR13_54458,0.0000001,0.6087
327_AP3D1_8943;877,327_AP3D1_8943,0.00000037,0.6084
249_CCDC72_51372;5,249_CCDC72_51372,0.00000018,0.6083
437_PRR13_54458;121,437_PRR13_54458,0.00000094,0.6079
531_SMARCA4_6597;1585,531_SMARCA4_6597,0.00000292,0.6079
708_CYTH1_9267;57,708_CYTH1_9267,0.0000002,0.6079
103_RPS25_6230;25,103_RPS25_6230,0.00000019,0.6078
95_AHNAK_79026;5009,95_AHNAK_79026,0.0000003,0.6073
290_BRD2_6046;549,290_BRD2_6046,0.00000027,0.607
751_TRAM1_23471;333,751_TRAM1_23471,0.00000017,0.6068
1334_HGSNAT_138050;649,1334_HGSNAT_138050,0.00000916,0.6062
172_GOLGA6L9_440295;21,172_GOLGA6L9_440295,0.00000013,0.6061
48_RPS6_6194;185,48_RPS6_6194,0.00000045,0.6061
77_SP100_6672;537,77_SP100_6672,0.00000013,0.606
PCA13;309,PCA13,0.00000859,0.6055
837_BBX_56987;525,837_BBX_56987,0.00000024,0.605
1041_MLL_4297;1205,1041_MLL_4297,0.0000001,0.6049
134_CD99_4267;141,134_CD99_4267,0.00000125,0.6047
1143_PHF2_5253;1081,1143_PHF2_5253,0.00000105,0.6044
1137_KAT6A_7994;305,1137_KAT6A_7994,0.00000026,0.6043
1155_EIF5_1983;153,1155_EIF5_1983,0.0000001,0.6043
834_SRSF4_6429;345,834_SRSF4_6429,0.0000008,0.604
CTA11;337,CTA11,0.0000001,0.6038
959_NCOR2_9612;277,959_NCOR2_9612,0.00000182,0.6038
837_BBX_56987;445,837_BBX_56987,0.00000052,0.6036
1362_ADD1_118;717,1362_ADD1_118,0.00000122,0.6023
95_AHNAK_79026;4973,95_AHNAK_79026,0.00000009,0.6023
1000_H2AFY_9555;141,1000_H2AFY_9555,0.00000021,0.602
1143_PHF2_5253;57,1143_PHF2_5253,0.00000026,0.6019
1032_C1orf9_51430;1345,1032_C1orf9_51430,0.00000051,0.6018
1226_PITPNA_5306;189,1226_PITPNA_5306,0.00001862,0.6018
PRO18;1389,PRO18,0.00000174,0.6012
507_H1F0_3005;101,507_H1F0_3005,0.00000027,0.6009
290_BRD2_6046;269,290_BRD2_6046,0.00000009,0.6004
446_RPL26_6154;121,446_RPL26_6154,0.00000022,0.6003
1268_XYLT2_64132;241,1268_XYLT2_64132,0.00000844,0.6001
437_PRR13_54458;101,437_PRR13_54458,0.00000015,0.6
210_POTEG_404785;281,210_POTEG_404785,0.00000293,0.5998
538_THRAP3_9967;757,538_THRAP3_9967,0.00000014,0.5995
105_HIST2H2AA4_723790;1,105_HIST2H2AA4_723790,0.00000013,0.5994
1190_HIST1H2AG_8969;1,1190_HIST1H2AG_8969,0.00000013,0.5994
1205_HIST1H2AH_85235;1,1205_HIST1H2AH_85235,0.00000013,0.5994
1396_HIST2H2AB_317772;1,1396_HIST2H2AB_317772,0.00000013,0.5994
331_HIST1H2AD_3013;1,331_HIST1H2AD_3013,0.00000013,0.5994
564_HIST2H2AC_8338;1,564_HIST2H2AC_8338,0.00000013,0.5994
712_HIST1H2AK_8330;1,712_HIST1H2AK_8330,0.00000013,0.5994
840_HIST1H2AM_8336;1,840_HIST1H2AM_8336,0.00000013,0.5994
981_HIST3H2A_92815;1,981_HIST3H2A_92815,0.00000013,0.5994
569_NAP1L1_4673;261,569_NAP1L1_4673,0.00000007,0.5992
417_PNISR_25957;789,417_PNISR_25957,0.0000001,0.599
538_THRAP3_9967;721,538_THRAP3_9967,0.00000006,0.5988
1071_NRBP2_340371;137,1071_NRBP2_340371,0.00000023,0.5987
1362_ADD1_118;705,1362_ADD1_118,0.00000035,0.5985
1425_SSRP1_6749;521,1425_SSRP1_6749,0.00000012,0.5985
786_SNRPD2_6633;73,786_SNRPD2_6633,0.0000007,0.5985
1425_SSRP1_6749;517,1425_SSRP1_6749,0.00000015,0.5984
967_FAM111A_63901;197,967_FAM111A_63901,0.00000169,0.5984
317_RPL13A_23521;161,317_RPL13A_23521,0.00000025,0.5983
800_FAM129A_116496;257,800_FAM129A_116496,0.00000022,0.5983
1183_MDK_4192;125,1183_MDK_4192,0.00000063,0.5977
137_RPL14_9045;109,137_RPL14_9045,0.00000015,0.5974
281_RPL29_6159;49,281_RPL29_6159,0.0000001,0.5974
446_RPL26_6154;109,446_RPL26_6154,0.00000013,0.597
45_MKNK2_2872;53,45_MKNK2_2872,0.00000522,0.5968
1098_ARGLU1_55082;13,1098_ARGLU1_55082,0.00000715,0.5965
765_ANKRD36_375248;613,765_ANKRD36_375248,0.00000105,0.5965
1075_WIPI2_26100;93,1075_WIPI2_26100,0.00000027,0.5963
656_ANK3_288;21,656_ANK3_288,0.00000023,0.596
473_RPL5_6125;253,473_RPL5_6125,0.00000071,0.5958
995_EED_8726;61,995_EED_8726,0.00000014,0.5958
241_RAB3D_9545;61,241_RAB3D_9545,0.00000928,0.5954
1367_KIF13B_23303;537,1367_KIF13B_23303,0.00001582,0.5953
27_NBPF15_284565;565,27_NBPF15_284565,0.00000137,0.5953
502_NBPF10_100132406;565,502_NBPF10_100132406,0.00000137,0.5953
555_RAD21_5885;309,555_RAD21_5885,0.00000066,0.5952
613_FNBP4_23360;921,613_FNBP4_23360,0.00000015,0.595
1041_MLL_4297;1509,1041_MLL_4297,0.00000008,0.5949
422_EIF3C_8663;273,422_EIF3C_8663,0.00000018,0.5949
853_NBR1_4077;317,853_NBR1_4077,0.00000031,0.5949
FBXL19_AS1_T130509_G030577_1_4499_4918_420;117,FBXL19_AS1_T130509_G030577_1_4499_4918_420,0.0000005,0.5946
606_UBL5_59286;37,606_UBL5_59286,0.00001513,0.5946
821_RBM39_9584;33,821_RBM39_9584,0.0000002,0.5944
507_H1F0_3005;97,507_H1F0_3005,0.0000006,0.5943
1363_LEF1_51176;369,1363_LEF1_51176,0.00000019,0.5941
946_NKTR_4820;221,946_NKTR_4820,0.00000052,0.594
834_SRSF4_6429;341,834_SRSF4_6429,0.00000028,0.5938
1287_MYO6_4646;1117,1287_MYO6_4646,0.0000004,0.5935
738_SPATS2L_26010;65,738_SPATS2L_26010,0.00000031,0.5935
1193_HIST1H2BH_8345;13,1193_HIST1H2BH_8345,0.00000009,0.5931
512_HIST1H2BK_85236;13,512_HIST1H2BK_85236,0.00000009,0.5931
674_HIST1H2BL_8340;13,674_HIST1H2BL_8340,0.00000009,0.5931
791_HIST1H2BF_8343;13,791_HIST1H2BF_8343,0.00000009,0.5931
525_TAF7_6879;141,525_TAF7_6879,0.00000034,0.593
1041_MLL_4297;725,1041_MLL_4297,0.00000017,0.5927
976_FOXP1_27086;621,976_FOXP1_27086,0.00099963,0.5927
692_ANAPC5_51433;561,692_ANAPC5_51433,0.00000048,0.5926
180_GLTSCR2_29997;97,180_GLTSCR2_29997,0.00000006,0.5925
317_RPL13A_23521;49,317_RPL13A_23521,0.00000113,0.5922
